image,dice_people,iou_people,dice_vehicles,iou_vehicles
0001TP_009030,0.004210388945840108,0.002109635666264549,0.02960544651032929,0.015025136188027172
0001TP_009060,0.019210556864565742,0.009698434596943802,0.1439504780036057,0.07755745538985966
0001TP_009270,0.047382826655152276,0.024266316665639654,0.2444140446876389,0.13922077922077686
0001TP_009300,0.03263550914004283,0.01658844067363312,0.0,0.0
0001TP_009870,0.023612885768831478,0.011947500365087682,0.020115093930930753,0.010159728916196419
0001TP_009900,0.027477151361017353,0.013929953399513856,0.16237412262739753,0.08836081632652917
0001TP_009930,0.030920275213301433,0.015702906705136525,0.08278328571726981,0.04317888796845834
0001TP_009960,3.8814602053284916e-05,1.940767767728537e-05,0.06699606026667151,0.03465903968923834
0006R0_f01050,0.0,0.0,0.012399629809175226,0.006238492402768453
0006R0_f01080,0.0,0.0,0.005930170877783033,0.002973903316311383
0006R0_f01290,0.0,0.0,0.0008015522744045394,0.0004009368231134993
0006R0_f01320,0.0,0.0,0.0012763928829562614,0.0006386039962760678
0006R0_f01890,0.0,0.0,0.06496302086464924,0.0335719790190662
0006R0_f01920,0.0,0.0,0.05826660640443503,0.030007521422156232
0006R0_f01950,0.0,0.0,0.07312524217505363,0.037950179106397815
0006R0_f01980,0.0,0.0,0.09657207650062562,0.050735872532058794
0006R0_f02550,0.005833387624598356,0.002925225800290463,0.25709211565470014,0.14750757510703064
0006R0_f02580,0.0010938490805326136,0.0005472238304081755,0.2605086721272875,0.1497614089550381
0006R0_f02790,0.00012161592821184966,6.081166193928125e-05,0.1391982428624153,0.07480551989403739
0006R0_f02820,0.0003846541318264484,0.000192364062728996,0.06753015391876081,0.03494499748893982
0006R0_f03390,0.012062262401816489,0.006067726455251086,0.11099263567037641,0.05875712173825527
0006R0_f03420,0.0007586558710807899,0.00037947187982516464,0.17739670734855195,0.09733149724012763
0006R0_f03450,0.0,0.0,0.23359332749786418,0.13224209981440826
0006R0_f03480,0.0,0.0,0.17854817660384656,0.09802519853143188
0016E5_00480,0.002119253417296082,0.0010607507084299105,0.02071118083472202,0.01046395080605594
0016E5_00510,0.0005868782126522551,0.00029352523810968257,0.033651126815272596,0.017113507818564636
0016E5_00720,0.0017433066425109707,0.000872413763610045,0.0014164126819520755,0.0007087082526544697
0016E5_00750,0.0,0.0,0.0008544058290982992,0.00042738549487819757
0016E5_01320,0.0,0.0,0.020626437970954006,0.010420689841795172
0016E5_01350,0.00035219226543731365,0.00017612714802829138,0.03936095211920515,0.02007557289127206
0016E5_01380,0.0,0.0,0.0179919443733376,0.009077634332646033
0016E5_01410,0.00012656282488224756,6.328541723171313e-05,0.053805929780272176,0.027646744280850375
0016E5_01980,0.003291497294998402,0.0016484616009494178,0.02371296963135063,0.011998747786614425
0016E5_02010,0.006293582425686089,0.003156724766599945,0.016261358719168485,0.008197329215036658
0016E5_02220,0.0006905231269559797,0.00034538081019651356,0.023252320452299365,0.011762917793139751
0016E5_02250,0.034286645712928464,0.017442342566454,0.04133817580535472,0.021105315524466293
0016E5_04740,0.0,0.0,0.021107819332532248,0.010666482761790849
0016E5_04770,0.001268554330665145,0.0006346797281914639,0.004178555652391675,0.00209365204699339
0016E5_04800,0.002268165722957242,0.0011353704656651609,0.006366983737342335,0.0031936588556695012
0016E5_04830,0.010345983008686955,0.005199890493690857,0.05865176853870221,0.030211874195570605
0016E5_05400,0.0003838164905625865,0.00019194508112500234,0.17136770728633535,0.09371359565789363
0016E5_05430,0.0003985155296519965,0.0001992974763956803,0.10652143727725587,0.0562570072745278
0016E5_05640,0.00045155221072430837,0.00022582709172340877,0.050657658581610386,0.02598705086596058
0016E5_05670,0.0,0.0,0.026078714197401518,0.013211628237140107
0016E5_06240,0.0,0.0,0.2663392482746687,0.15362823897905578
0016E5_06270,0.0,0.0,0.24681208824401082,0.14077902693089206
0016E5_06300,0.0,0.0,0.22241569680230505,0.12512244645848955
0016E5_06330,0.0,0.0,0.2159956936850125,0.12107352707638355
0016E5_06900,0.040015266868884986,0.020416111509684972,0.004491769230386794,0.0022509399666341846
0016E5_06930,0.0400976206177819,0.02045898869229451,0.005543020590899961,0.0027792129126506396
0016E5_07140,0.0038557095727491907,0.0019315785894034353,0.00041372702726241104,0.0002069063149985186
0016E5_07170,0.00888798207369528,0.0044638282495787955,0.0014197331993686872,0.0007103708682370939
0016E5_07740,0.004045055697305056,0.0020266267577088186,0.0056467128623042305,0.002831350342350034
0016E5_07770,0.015013130595011552,0.007563340003106331,0.030532385954071126,0.015502862670256174
0016E5_07800,0.04368050793020236,0.022327900993302546,0.07555711796533372,0.03926181372837059
0016E5_07830,0.015507076587479497,0.007814125414372168,0.0005845496227827681,0.0002923602609315062
0016E5_07989,0.00026016413992097396,0.00013009899350686213,0.006810842548193873,0.0034170577954082387
0016E5_07991,0.0001903560848512022,9.518710214764768e-05,0.006253932541422174,0.0031367748598967985
0016E5_08005,7.10437511100502e-05,3.552313740349127e-05,0.0050042920022642596,0.0025084224403103023
0016E5_08007,0.00011774957021405486,5.8878251551435e-05,0.003900653498109394,0.0019541379565827634
0016E5_08045,0.0006025776934664284,0.00030137964906010834,0.0331983856177736,0.016879376839540185
0016E5_08047,0.004254589658074038,0.0021318298596738902,0.034906012697620135,0.017763024528683245
0016E5_08049,0.001215385098959461,0.0006080620642658061,0.019346139028013416,0.009767551720783503
0016E5_08051,0.0017938846673249155,0.0008977475614552693,0.007230796620149872,0.0036285168437398714
0016E5_08089,0.026706704989060498,0.013534077806164361,0.041998321180181854,0.02144958384586078
0016E5_08091,0.03185423757644565,0.01618489757446657,0.044135974078262995,0.022565972630670533
0016E5_08105,0.029127034243407648,0.014778747666380498,0.04304265653260642,0.021994683060562882
0016E5_08107,0.01716791306627301,0.008658278822198029,0.04977694448359534,0.025523718603775183
0016E5_08145,0.0012932027139541658,0.0006470197208065474,0.03131750007177437,0.015907847036236746
0016E5_08147,0.0012474208612794407,0.0006240996881249629,0.033235179906350255,0.0168984006459744
0016E5_08149,0.0013218005939337185,0.0006613373750344148,0.03174828354476367,0.016130194770992704
0016E5_08151,0.001797018728137723,0.0008993174091822819,0.0008136066018363475,0.00040696885719265064
0016E5_08610,0.026188604450013177,0.013268037923509876,0.0014472033379043883,0.0007241256474792413
0016E5_08640,0.020652547818241666,0.010434018441520795,0.001281640499839723,0.0006412311638345263
Seq05VD_f00180,8.354218880533798e-05,4.1772839299882854e-05,0.015608536736012583,0.007865654043048132
Seq05VD_f00210,6.747183051075606e-05,3.37370534057527e-05,0.02101381295894795,0.010618473790545986
Seq05VD_f00780,0.0004575306688526029,0.0002288176799793846,0.0003787093225611229,0.0001893905232589429
Seq05VD_f00810,0.005803918184171603,0.002910404968245052,0.00023190474066804337,0.00011596581684536262
Seq05VD_f00840,0.0,0.0,0.00045867010462634133,0.00022938765894393458
Seq05VD_f00870,0.00034139247161319266,0.0001707253779859752,0.0003164206496115686,0.00015823535927337072
Seq05VD_f01440,0.0,0.0,0.0172832654725423,0.008716961516270973
Seq05VD_f01470,0.0019166199342668987,0.0009592292060423653,0.11662051478265191,0.061920879832241316
Seq05VD_f01680,0.0008673347965200376,0.0004338555472664225,8.563256777817007e-05,4.281811720174674e-05
Seq05VD_f01710,0.0014294687141278384,0.0007152455676448527,3.157637140127793e-05,1.5788434971382215e-05
Seq05VD_f02280,0.014382831509475563,0.007243506823830225,0.0020903763398229603,0.001046281731199324
Seq05VD_f02310,0.0035857224967172927,0.0017960813730512888,0.0017662136256918195,0.000883887379812811
Seq05VD_f02340,0.0021418435918715887,0.0010720698989573544,0.004897069542633172,0.0024545448096307218
Seq05VD_f02370,0.0020303809101448497,0.001016222114062855,0.030543841169047643,0.015508769277290302
Seq05VD_f02940,0.00037104957079551803,0.00018555921123060117,0.007033561119576949,0.003529191953442102
Seq05VD_f02970,0.0035046258375516287,0.0017553889094393006,0.011202550734628003,0.00563282637895882
Seq05VD_f03180,0.0,0.0,0.002394538906429299,0.001198704625646363
Seq05VD_f03210,0.0,0.0,0.005479485790276961,0.0027472697078014586
Seq05VD_f03780,0.00017089942568797493,8.54570151213901e-05,0.014562893991600052,0.007334855356298776
Seq05VD_f03810,0.0,0.0,0.0006804323362382203,0.00034033195455257655
Seq05VD_f03840,0.0,0.0,0.00013045927595101072,6.523389315873984e-05
Seq05VD_f03870,0.0,0.0,0.0003592071318943082,0.0001796358291826472
Seq05VD_f04440,0.015167243851513702,0.007641572724215478,0.0084092379845661,0.004222372459719681
Seq05VD_f04470,0.05526741901810649,0.02841903280614655,0.00017695076577771364,8.84832114748713e-05
Seq05VD_f04680,0.00016446952253231417,8.22415243782805e-05,0.0,0.0
Seq05VD_f04710,0.0023937699804662984,0.0011983192405456658,0.00021128248468200495,0.00010565240359217427
